timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-02-09 07:00:00,48111.46000000,48142.19000000,47752.02000000,47760.13000000,689.33014500,1612854299999,33034867.26775326,14863,277.68465400,13306188.69624900,0
2021-02-09 07:05:00,47760.13000000,47837.82000000,47450.00000000,47589.14000000,691.37026800,1612854599999,32931558.25751287,14745,304.32522200,14492337.75450559,0
2021-02-09 07:10:00,47589.13000000,48000.00000000,47537.59000000,47949.68000000,534.88548300,1612854899999,25539171.91473647,11530,236.59853400,11297063.31323319,0
2021-02-09 07:15:00,47951.51000000,48072.49000000,47713.85000000,47753.61000000,607.20721000,1612855199999,29065960.65979077,12542,324.19985300,15525060.29829573,0
2021-02-09 07:20:00,47753.60000000,47850.00000000,47636.94000000,47674.27000000,408.10863900,1612855499999,19472637.87449570,9942,203.36181600,9703505.57967088,0
2021-02-09 07:25:00,47673.53000000,47780.00000000,47600.00000000,47606.83000000,326.59394400,1612855799999,15579514.18612661,8589,161.98556300,7727018.34623811,0
2021-02-09 07:30:00,47610.54000000,47800.00000000,47437.06000000,47446.75000000,596.15285700,1612856099999,28407643.00632147,14782,299.96120900,14298171.98338319,0
2021-02-09 07:35:00,47449.53000000,47628.28000000,47387.34000000,47523.16000000,385.30210000,1612856399999,18308917.82184321,10178,191.99161500,9124502.76441597,0
2021-02-09 07:40:00,47523.17000000,47647.91000000,47500.01000000,47523.80000000,229.08772100,1612856699999,10897892.25163577,7852,112.66444600,5359115.68576759,0
2021-02-09 07:45:00,47523.81000000,47591.17000000,47370.75000000,47452.73000000,323.94636600,1612856999999,15391119.88719854,9152,153.37483900,7287289.13968435,0
2021-02-09 07:50:00,47447.68000000,47768.98000000,47421.65000000,47638.01000000,405.99856700,1612857299999,19345277.87799271,11873,238.82398000,11379363.02311894,0
2021-02-09 07:55:00,47638.00000000,47672.06000000,47429.56000000,47505.40000000,305.65292200,1612857599999,14538401.42636259,8462,138.70734400,6599168.50692090,0
2021-02-09 08:00:00,47505.39000000,47888.87000000,47494.38000000,47854.92000000,512.70041000,1612857899999,24455414.88702150,13752,304.99571000,14548369.06709718,0
